original_word,positive,neutral,negative
bring,0.33,0.62,0.05
respectively.,0.11,0.85,0.04
defy,0.06,0.64,0.3
"life,",0.48,0.46,0.06
Renny,0.15,0.81,0.04
past,0.12,0.82,0.06
in.,0.09,0.87,0.04
"(Impulse,",0.02,0.96,0.02
fans.,0.38,0.58,0.04
give,0.14,0.74,0.12
watch.,0.28,0.65,0.07
recommend,0.97,0.02,0.01
fu,0.2,0.56,0.24
presence,0.12,0.84,0.04
one.,0.06,0.9,0.04
Rent,0.12,0.79,0.09
(about,0.03,0.96,0.01
"antagonist,",0.2,0.62,0.18
till,0.19,0.76,0.05
Keitel,0.13,0.81,0.06
"wish,",0.66,0.3,0.04
they're,0.09,0.89,0.02
up.<br,0.02,0.97,0.01
rate,0.13,0.75,0.12
action,0.2,0.75,0.05
/>*,0.06,0.91,0.03
unique,0.89,0.1,0.01
within,0.06,0.91,0.03
also,0.08,0.89,0.03
wish,0.66,0.3,0.04
boring,0.0,0.0,1.0
put,0.15,0.79,0.06
fair,0.51,0.45,0.04
brought,0.39,0.52,0.09
movie.,0.39,0.38,0.23
tries,0.04,0.17,0.79
my,0.34,0.6,0.06
forever,0.24,0.69,0.07
"mystery-thriller,",0.77,0.17,0.06
top.,0.58,0.39,0.03
off,0.05,0.64,0.31
half,0.02,0.92,0.06
With,0.12,0.84,0.04
consultation,0.11,0.84,0.05
book,0.35,0.55,0.1
being,0.1,0.82,0.08
thing),0.07,0.87,0.06
night.,0.17,0.77,0.06
chop,0.08,0.86,0.06
knew,0.49,0.38,0.13
Really,0.22,0.67,0.11
just,0.06,0.89,0.05
"written,",0.31,0.5,0.19
he,0.36,0.54,0.1
stupid,0.0,0.0,1.0
may,0.03,0.95,0.02
"nooooooo,",0.08,0.66,0.26
if,0.03,0.95,0.02
miss.,0.64,0.19,0.17
maybe,0.01,0.97,0.02
Canyon,0.1,0.86,0.04
(Freddy,0.03,0.96,0.01
started,0.15,0.71,0.14
"disbelief""",0.13,0.66,0.21
girlfriend.,0.2,0.73,0.07
any,0.05,0.91,0.04
need,0.31,0.6,0.09
absolutly,0.31,0.53,0.16
"Flint""",0.18,0.78,0.04
/>Implausible,0.01,0.98,0.01
through.,0.12,0.84,0.04
forms,0.05,0.92,0.03
Corny,0.01,0.0,0.99
say,0.08,0.87,0.05
movies),0.26,0.66,0.08
Maltin,0.13,0.81,0.06
Cates,0.13,0.81,0.06
assume,0.03,0.95,0.02
Carlson's,0.09,0.89,0.02
horror,0.09,0.16,0.75
cut-out,0.06,0.84,0.1
",",0.06,0.91,0.03
Kamal,0.13,0.84,0.03
worst,0.0,0.0,1.0
girlfriend,0.2,0.73,0.07
untill,0.11,0.79,0.1
character.,0.25,0.66,0.09
"on,",0.16,0.79,0.05
rates,0.1,0.83,0.07
repeatedly,0.09,0.7,0.21
Sutherland,0.13,0.84,0.03
during,0.13,0.82,0.05
flipping,0.11,0.8,0.09
Mathilda,0.13,0.81,0.06
low,0.03,0.85,0.12
Mexican,0.15,0.78,0.07
almost,0.06,0.89,0.05
show,0.24,0.68,0.08
can,0.08,0.89,0.03
mood,0.27,0.65,0.08
ashamed,0.0,0.01,0.99
basic,0.14,0.41,0.45
hardly,0.03,0.37,0.6
"talent,",0.91,0.07,0.02
Randy,0.1,0.84,0.06
it.,0.14,0.8,0.06
simply,0.06,0.89,0.05
"well,",0.61,0.34,0.05
grinds,0.07,0.39,0.54
Rain,0.08,0.88,0.04
lack,0.02,0.03,0.95
would,0.07,0.88,0.05
pointless,0.0,0.0,1.0
lady,0.21,0.73,0.06
overall,0.17,0.79,0.04
comment,0.09,0.85,0.06
Fontana,0.1,0.87,0.03
"creepy,",0.0,0.0,1.0
allowed.,0.11,0.8,0.09
loved,1.0,0.0,0.0
sings,0.75,0.18,0.07
kids,0.26,0.64,0.1
syrupy,0.13,0.81,0.06
Steady,0.37,0.6,0.03
cockeyed,0.13,0.81,0.06
good.,1.0,0.0,0.0
jazz,0.37,0.6,0.03
chosen.<br,0.01,0.98,0.01
$100-million-plus,0.0,1.0,0.0
strong,0.6,0.34,0.06
he's,0.25,0.71,0.04
"""slow"",",0.02,0.31,0.67
then,0.05,0.9,0.05
classic.,0.94,0.05,0.01
never,0.05,0.57,0.38
etc.,0.02,0.96,0.02
combat.,0.1,0.8,0.1
Moreau,0.13,0.81,0.06
David,0.11,0.86,0.03
huge,0.26,0.64,0.1
cult,0.56,0.41,0.03
Chris,0.17,0.8,0.03
several,0.1,0.86,0.04
features,0.13,0.84,0.03
audience.,0.21,0.73,0.06
When,0.08,0.87,0.05
MADE!<br,0.03,0.95,0.02
touching,0.45,0.46,0.09
"pampered,",0.87,0.1,0.03
character,0.25,0.66,0.09
"moments,",0.28,0.67,0.05
(in,0.02,0.97,0.01
zombies,0.15,0.72,0.13
least,0.01,0.77,0.22
Candance,0.13,0.81,0.06
other,0.05,0.91,0.04
review,0.31,0.57,0.12
fight,0.05,0.15,0.8
"""movie""",0.15,0.8,0.05
actually,0.08,0.87,0.05
"2,",0.13,0.81,0.06
masochists.<br,0.01,0.99,0.0
walking,0.15,0.81,0.04
really,0.22,0.67,0.11
intentionally,0.02,0.16,0.82
won't,0.04,0.6,0.36
"Also,",0.08,0.89,0.03
their,0.11,0.85,0.04
mind.,0.16,0.79,0.05
life.<br,0.08,0.91,0.01
stomach.,0.06,0.47,0.47
Is,0.11,0.84,0.05
cast,0.07,0.9,0.03
Joan,0.14,0.83,0.03
complication.,0.11,0.78,0.11
make,0.21,0.72,0.07
"us""",0.09,0.87,0.04
"Please,",0.07,0.9,0.03
"that,",0.06,0.92,0.02
"Penn,",0.03,0.96,0.01
Many,0.16,0.79,0.05
phrase,0.15,0.8,0.05
exceptions,0.09,0.84,0.07
deep,0.12,0.85,0.03
long,0.13,0.8,0.07
Trying,0.06,0.66,0.28
deranged,0.01,0.01,0.98
convincing,0.96,0.03,0.01
wasn't,0.03,0.1,0.87
"know,",0.09,0.87,0.04
absolutely,0.16,0.78,0.06
everyone,0.4,0.55,0.05
higher,0.05,0.9,0.05
people,0.1,0.85,0.05
animal,0.09,0.88,0.03
"though,",0.04,0.92,0.04
rarity,0.35,0.59,0.06
her,0.19,0.73,0.08
Liotta's,0.05,0.91,0.04
Two,0.01,0.97,0.02
playful,0.76,0.21,0.03
foreman,0.35,0.58,0.07
many,0.16,0.79,0.05
movies,0.26,0.66,0.08
excitement),0.46,0.48,0.06
VHS,0.03,0.95,0.02
sure,0.1,0.87,0.03
Peter,0.1,0.87,0.03
consumed,0.15,0.71,0.14
"Jagger,",0.15,0.81,0.04
11,0.05,0.93,0.02
"past,",0.12,0.82,0.06
excitement,0.46,0.48,0.06
alien,0.06,0.69,0.25
throw,0.09,0.81,0.1
over,0.1,0.81,0.09
forgotten,0.16,0.32,0.52
--,0.08,0.8,0.12
And,0.15,0.8,0.05
narrated,0.43,0.48,0.09
fire,0.16,0.8,0.04
present,0.45,0.49,0.06
Mr.,0.13,0.83,0.04
edited,0.04,0.19,0.77
it,0.14,0.8,0.06
love,1.0,0.0,0.0
actor.,0.33,0.54,0.13
boost,0.59,0.38,0.03
popular,0.74,0.24,0.02
family,0.42,0.53,0.05
get,0.16,0.75,0.09
myself,0.13,0.78,0.09
lets,0.06,0.9,0.04
disappoint.,0.0,0.0,1.0
hour,0.04,0.93,0.03
"Festival,",0.23,0.72,0.05
bombast.,0.13,0.81,0.06
"it,",0.14,0.8,0.06
have:,0.15,0.8,0.05
exercise,0.19,0.75,0.06
Miss,0.64,0.19,0.17
typical,0.06,0.59,0.35
sometimes,0.05,0.82,0.13
movie:,0.39,0.38,0.23
(Keira,0.03,0.96,0.01
year,0.11,0.86,0.03
MAN,0.27,0.65,0.08
original.,0.51,0.44,0.05
slash,0.04,0.86,0.1
bomb.The,0.1,0.09,0.81
finds,0.64,0.3,0.06
angle,0.05,0.92,0.03
lovely,1.0,0.0,0.0
ultimate,0.85,0.14,0.01
weekly,0.15,0.78,0.07
raffle,0.37,0.6,0.03
"Lafayette,",0.09,0.89,0.02
"Sinatra,",0.18,0.79,0.03
motto,0.84,0.14,0.02
side,0.05,0.91,0.04
well-made,0.89,0.1,0.01
pure,0.95,0.04,0.01
memorable,1.0,0.0,0.0
surroundings,0.25,0.7,0.05
followed,0.11,0.82,0.07
them,0.1,0.86,0.04
"Arpeggios"",",0.13,0.81,0.06
wise,0.84,0.13,0.03
"story,",0.22,0.65,0.13
70's,0.07,0.85,0.08
self,0.08,0.75,0.17
Be,0.12,0.81,0.07
entertaining,0.98,0.01,0.01
components,0.1,0.87,0.03
animation,0.14,0.77,0.09
remembered.,0.44,0.46,0.1
perfect,1.0,0.0,0.0
"Aristocats""",0.15,0.8,0.05
So,0.15,0.68,0.17
dogs,0.13,0.83,0.04
catchy,0.98,0.01,0.01
French,0.05,0.91,0.04
I'll,0.3,0.66,0.04
other.,0.05,0.91,0.04
along,0.15,0.81,0.04
you're,0.05,0.93,0.02
"/>""Aristocats""",0.05,0.93,0.02
"kids-pleaser,",0.99,0.01,0.0
favor,0.2,0.73,0.07
showstoppers,0.13,0.81,0.06
lines,0.1,0.85,0.05
fantastic,1.0,0.0,0.0
Mouse,0.11,0.85,0.04
"Susan,",0.07,0.91,0.02
wanting,0.12,0.74,0.14
magic,0.4,0.57,0.03
Know,0.09,0.87,0.04
Oscars,0.15,0.81,0.04
when,0.08,0.87,0.05
"again,",0.27,0.65,0.08
while,0.1,0.86,0.04
(1945),0.01,0.99,0.0
tango,0.11,0.86,0.03
high,0.21,0.74,0.05
shy,0.05,0.76,0.19
Tom,0.14,0.83,0.03
.The,0.07,0.91,0.02
"""Jealousy""",0.04,0.14,0.82
Hate,0.0,0.0,1.0
feel,0.2,0.71,0.09
Clarence,0.1,0.87,0.03
girls,0.17,0.78,0.05
buddy,0.28,0.68,0.04
wants,0.36,0.53,0.11
leave,0.08,0.82,0.1
job,0.74,0.21,0.05
nice,1.0,0.0,0.0
terrific,1.0,0.0,0.0
girls.They,0.2,0.75,0.05
Georgie,0.17,0.79,0.04
performing,0.28,0.66,0.06
"boy,",0.21,0.73,0.06
Anchors,0.14,0.82,0.04
Jerry,0.2,0.77,0.03
animated,0.17,0.77,0.06
notices,0.12,0.76,0.12
"Leave"".It's",0.03,0.93,0.04
producer,0.13,0.84,0.03
Sidney's,0.03,0.95,0.02
Berner,0.13,0.81,0.06
"waitress,",0.21,0.49,0.3
Grayson,0.1,0.86,0.04
88.The,0.06,0.92,0.02
fix,0.76,0.18,0.06
butler.They,0.11,0.86,0.03
know.As,0.42,0.53,0.05
lie,0.01,0.09,0.9
Brady,0.13,0.83,0.04
little,0.11,0.7,0.19
beautiful,1.0,0.0,0.0
operatic,0.13,0.81,0.06
ran,0.04,0.51,0.45
piano.Edgar,0.12,0.86,0.02
Chief,0.27,0.67,0.06
singer,0.27,0.68,0.05
voice,0.13,0.8,0.07
Lullaby,0.29,0.65,0.06
You,0.08,0.89,0.03
wait,0.24,0.69,0.07
"Lola,",0.19,0.77,0.04
musical,0.53,0.43,0.04
month,0.06,0.89,0.05
shyer,0.09,0.82,0.09
routines.Frank,0.18,0.79,0.03
can't,0.05,0.7,0.25
fellow,0.2,0.74,0.06
sadly,0.0,0.0,1.0
Susie.The,0.22,0.75,0.03
sailor.Jose,0.11,0.87,0.02
become,0.19,0.75,0.06
Iturbi,0.13,0.81,0.06
funny.It's,1.0,0.0,0.0
home,0.32,0.63,0.05
meeting,0.23,0.72,0.05
moment,0.13,0.82,0.05
needs,0.26,0.55,0.19
Abbott.We,0.1,0.87,0.03
Joe,0.16,0.79,0.05
Kelly,0.1,0.88,0.02
gifted,0.96,0.03,0.01
"Susie)""",0.24,0.72,0.04
entertainment.,0.25,0.7,0.05
does.Soon,0.46,0.5,0.04
station.Sara,0.06,0.93,0.01
advice,0.11,0.85,0.04
comes,0.07,0.89,0.04
quite,0.15,0.8,0.05
(Like,0.23,0.75,0.02
Aweigh,0.13,0.81,0.06
Stockwell.It's,0.08,0.89,0.03
Knew,0.49,0.38,0.13
Stockwell,0.13,0.81,0.06
two,0.01,0.97,0.02
how,0.05,0.92,0.03
Susan,0.07,0.91,0.02
last,0.13,0.82,0.05
"energetic.""If",0.92,0.07,0.01
navy.They,0.1,0.88,0.02
isn't,0.03,0.65,0.32
Gene,0.19,0.77,0.04
"world,",0.16,0.8,0.04
everything,0.56,0.39,0.05
Brooklyn.Shy,0.02,0.5,0.48
Kennedy,0.13,0.84,0.03
Cat,0.14,0.81,0.05
singing,0.71,0.24,0.05
mind,0.16,0.79,0.05
dances,0.28,0.66,0.06
Stoll,0.13,0.83,0.04
refused.The,0.0,0.01,0.99
plays,0.25,0.63,0.12
his,0.29,0.61,0.1
shyness,0.07,0.72,0.21
originally,0.1,0.84,0.06
comedy.Gene,0.07,0.91,0.02
take,0.11,0.83,0.06
nominated,0.94,0.05,0.01
himself.It's,0.42,0.47,0.11
join,0.17,0.8,0.03
"""We",0.07,0.91,0.02
"Martin,",0.1,0.87,0.03
stuff,0.3,0.61,0.09
Music,0.51,0.44,0.05
takes,0.09,0.81,0.1
age,0.07,0.89,0.04
boys,0.21,0.73,0.06
Sinatra,0.18,0.79,0.03
knows,0.61,0.33,0.06
soprano,0.08,0.89,0.03
Mouse.Also,0.05,0.93,0.02
"top-notch,",0.89,0.1,0.01
asked,0.08,0.85,0.07
Original,0.51,0.44,0.05
four-day,0.01,0.98,0.01
order,0.27,0.66,0.07
9-year,0.01,0.99,0.0
shore,0.09,0.88,0.03
Joseph,0.11,0.86,0.03
Frank,0.23,0.73,0.04
actress,0.22,0.69,0.09
aunt,0.25,0.69,0.06
fantasy,0.57,0.35,0.08
Doolittle,0.11,0.86,0.03
Susie,0.24,0.72,0.04
Dean,0.6,0.36,0.04
lost,0.0,0.0,1.0
listen,0.56,0.38,0.06
look,0.11,0.83,0.06
Mickey,0.13,0.83,0.04
like,0.22,0.7,0.08
Brahms',0.24,0.68,0.08
"Brooklyn,",0.07,0.91,0.02
numbers.Just,0.03,0.94,0.03
guy,0.16,0.77,0.07
Score.Anchors,0.1,0.85,0.05
gets,0.2,0.54,0.26
Donald,0.13,0.84,0.03
Hollywood.Joe,0.09,0.87,0.04
"sailors,",0.15,0.81,0.04
amazing,1.0,0.0,0.0
most,0.1,0.86,0.04
once,0.15,0.8,0.05
well.Kathryn,0.81,0.16,0.03
police,0.12,0.81,0.07
five,0.05,0.93,0.02
run,0.07,0.85,0.08
sequence,0.15,0.8,0.05
singer.Clarence,0.07,0.92,0.01
way.But,0.01,0.96,0.03
Mouse.There's,0.03,0.95,0.02
feelings.George,0.19,0.73,0.08
fit,0.46,0.47,0.07
best,1.0,0.0,0.0
where,0.07,0.9,0.03
"Disney-films,",0.05,0.93,0.02
actors,0.14,0.68,0.18
looks,0.25,0.68,0.07
actual,0.05,0.89,0.06
To,0.13,0.73,0.14
both,0.05,0.93,0.02
title,0.16,0.78,0.06
nostalgia,0.58,0.3,0.12
greats).,0.97,0.02,0.01
share,0.26,0.7,0.04
"/>Storywise,",0.01,0.98,0.01
style,0.26,0.7,0.04
song,0.72,0.2,0.08
cartoon.,0.13,0.79,0.08
"innovative,",0.9,0.09,0.01
misconception,0.06,0.81,0.13
Phil,0.17,0.8,0.03
too.,0.02,0.09,0.89
considered,0.09,0.84,0.07
"""The",0.07,0.91,0.02
I'm,0.08,0.89,0.03
"sake,",0.16,0.58,0.26
George,0.15,0.81,0.04
"Cat""",0.14,0.81,0.05
Burns,0.0,0.01,0.99
shows.,0.19,0.71,0.1
Gabor,0.13,0.81,0.06
memories.,0.65,0.3,0.05
"/>Overall,",0.11,0.87,0.02
funny,0.99,0.01,0.0
haven't,0.02,0.91,0.07
classic,0.94,0.05,0.01
been,0.16,0.78,0.06
(especially,0.11,0.86,0.03
My,0.34,0.6,0.06
"""Everybody",0.19,0.78,0.03
compelling,0.97,0.02,0.01
"likable,",1.0,0.0,0.0
still,0.15,0.78,0.07
"fun,",1.0,0.0,0.0
emotional,0.39,0.36,0.25
Disney,0.13,0.83,0.04
gold.<br,0.01,0.99,0.0
fun,1.0,0.0,0.0
show-stopper,0.44,0.52,0.04
for?,0.22,0.73,0.05
Napoleon,0.1,0.86,0.04
songs,0.51,0.41,0.08
your,0.16,0.8,0.04
kid.,0.16,0.65,0.19
O'Malley,0.22,0.71,0.07
adult.<br,0.0,1.0,0.0
certainly,0.11,0.84,0.05
"cute,",1.0,0.0,0.0
design,0.14,0.83,0.03
cartoon,0.13,0.79,0.08
period,0.08,0.86,0.06
interaction,0.12,0.83,0.05
"""Scale",0.01,0.98,0.01
city,0.15,0.81,0.04
score,0.15,0.73,0.12
Do,0.11,0.84,0.05
watch,0.28,0.65,0.07
This,0.14,0.81,0.05
best.,1.0,0.0,0.0
film's,0.11,0.35,0.54
Thomas,0.13,0.84,0.03
"""Thomas",0.02,0.97,0.01
"Duchess,",0.1,0.87,0.03
Paris,0.04,0.95,0.01
"song,",0.72,0.2,0.08
matter.,0.07,0.87,0.06
fortunately,0.03,0.18,0.79
"Cat"".",0.14,0.81,0.05
filmmakers,0.11,0.83,0.06
waiting,0.23,0.67,0.1
etc).,0.02,0.96,0.02
situations.<br,0.01,0.98,0.01
pleaser,0.99,0.01,0.0
Harris,0.11,0.86,0.03
enjoy,0.99,0.01,0.0
favorite,1.0,0.0,0.0
cute,1.0,0.0,0.0
"""Aristocats""",0.05,0.93,0.02
Want's,0.13,0.73,0.14
(Eva,0.03,0.96,0.01
"versa,",0.06,0.91,0.03
complex,0.14,0.2,0.66
